GeneSymbol_input,STRING_id,GeneSymbol_STRING
Klf10,10116.ENSRNOP00000008350,Klf10
Snrpd1,10116.ENSRNOP00000018646,Snrpd1
Magoh,10116.ENSRNOP00000017421,Magoh
Cebpz,10116.ENSRNOP00000006824,Cebpz
Casp12,10116.ENSRNOP00000071294,Casp12
Stk17b,10116.ENSRNOP00000016857,Stk17b
Marchf3,10116.ENSRNOP00000030051,Marchf3
Pdp1,10116.ENSRNOP00000070525,Pdp1
Adamts4,10116.ENSRNOP00000004713,Adamts4
Gtpbp4,10116.ENSRNOP00000064860,Gtpbp4
Sema3e,10116.ENSRNOP00000008936,Sema3e
Casp4,10116.ENSRNOP00000058685,Casp4
Mast4,10116.ENSRNOP00000057748,Mast4
Ripk1,10116.ENSRNOP00000023962,Ripk1
Cebpg,10116.ENSRNOP00000028703,Cebpg
Tead4,10116.ENSRNOP00000047651,Tead4
Hmga1,10116.ENSRNOP00000000580,Hmga1
Etf1,10116.ENSRNOP00000026398,Etf1
Lox,10116.ENSRNOP00000065314,Lox
Rasl2-9,10116.ENSRNOP00000039019,Rasl2-9
Cldn4,10116.ENSRNOP00000002003,Cldn4
Golga3,10116.ENSRNOP00000053494,Golga3
LOC681325,10116.ENSRNOP00000030641,LOC681325
Sowahc,10116.ENSRNOP00000065532,Sowahc
Plk2,10116.ENSRNOP00000016768,Plk2
Slc7a1,10116.ENSRNOP00000072647,Slc7a1
Srf,10116.ENSRNOP00000058149,Srf
Uba5,10116.ENSRNOP00000015240,Uba5
Morf4l2,10116.ENSRNOP00000003247,Morf4l2
Pbdc1,10116.ENSRNOP00000003667,Pbdc1
Ipo5,10116.ENSRNOP00000014859,Ipo5
Cct2,10116.ENSRNOP00000029234,Cct2
Tlr11,10116.ENSRNOP00000051449,Tlr11
Wdr26,10116.ENSRNOP00000005059,Wdr26
Emp1,10116.ENSRNOP00000011580,Emp1
Tlk2,10116.ENSRNOP00000062555,Tlk2
Polr2h,10116.ENSRNOP00000066627,Polr2h
Rlim,10116.ENSRNOP00000003782,Rlim
Epha2,10116.ENSRNOP00000012328,Epha2
Cldn7,10116.ENSRNOP00000069209,Cldn7
Maml2,10116.ENSRNOP00000037050,Maml2
Oga,10116.ENSRNOP00000059568,Oga
Tubb2b,10116.ENSRNOP00000023582,Tubb2b
Fndc3b,10116.ENSRNOP00000038770,Fndc3b
Cdca4,10116.ENSRNOP00000064942,Cdca4
Dagla,10116.ENSRNOP00000033416,Dagla
Tpcn2,10116.ENSRNOP00000051739,Tpcn2
Rpl24,10116.ENSRNOP00000002194,Rpl24
Akap12,10116.ENSRNOP00000057494,Akap12
Map6,10116.ENSRNOP00000032018,Map6
RT1-M5,10116.ENSRNOP00000045665,RT1-M5
Llph,10116.ENSRNOP00000005794,Llph
Ubqln1,10116.ENSRNOP00000057944,Ubqln1
Tmem88,10116.ENSRNOP00000013439,Tmem88
Gprc5a,10116.ENSRNOP00000011134,Gprc5a
Sh3bp2,10116.ENSRNOP00000054918,Sh3bp2
Nop56,10116.ENSRNOP00000009563,Nop56
Runx1,10116.ENSRNOP00000070750,Runx1
Clu,10116.ENSRNOP00000072116,Clu
Sh2b2,10116.ENSRNOP00000001935,Sh2b2
Hspa4,10116.ENSRNOP00000023628,Hspa4
S100a10,10116.ENSRNOP00000037097,S100a10
Sars1,10116.ENSRNOP00000071040,Sars1
Irf1,10116.ENSRNOP00000010968,Irf1
Wdr43,10116.ENSRNOP00000033485,Wdr43
Pla1a,10116.ENSRNOP00000071860,Pla1a
Cldn3,10116.ENSRNOP00000064411,Cldn3
Rdh10,10116.ENSRNOP00000009096,Rdh10
Plekho1,10116.ENSRNOP00000075725,Plekho1
Tmem120a,10116.ENSRNOP00000001960,Tmem120a
Ddx31,10116.ENSRNOP00000061319,Ddx31
Zgrf1,10116.ENSRNOP00000014695,Zgrf1
Tcp11l1,10116.ENSRNOP00000073788,Tcp11l1
Ago2,10116.ENSRNOP00000011898,Ago2
Wwtr1,10116.ENSRNOP00000022507,Wwtr1
Rangap1,10116.ENSRNOP00000050029,Rangap1
Bin1,10116.ENSRNOP00000017573,Bin1
Ceacam16,10116.ENSRNOP00000041331,Ceacam16
Stbd1,10116.ENSRNOP00000003020,Stbd1
Clec4a2,10116.ENSRNOP00000048802,Clec4a2
Map4k4,10116.ENSRNOP00000074373,Map4k4
Bax,10116.ENSRNOP00000028328,Bax
Gar1,10116.ENSRNOP00000074835,Gar1
Asns,10116.ENSRNOP00000010079,Asns
Rrp15,10116.ENSRNOP00000003359,Rrp15
Mdfic,10116.ENSRNOP00000073480,Mdfic
Bag2,10116.ENSRNOP00000016948,Bag2
Sugt1,10116.ENSRNOP00000017086,Sugt1
Naa15,10116.ENSRNOP00000017379,Naa15
Stim2,10116.ENSRNOP00000004006,Stim2
Utp15,10116.ENSRNOP00000022259,Utp15
Nup54,10116.ENSRNOP00000003070,Nup54
Zfp280b,10116.ENSRNOP00000034023,Zfp280b
Rnd1,10116.ENSRNOP00000070395,Rnd1
Rab32,10116.ENSRNOP00000019121,Rab32
Gpr4,10116.ENSRNOP00000021894,Gpr4
Rela,10116.ENSRNOP00000044552,Rela
Dse,10116.ENSRNOP00000001093,Dse
Pprc1,10116.ENSRNOP00000025222,Pprc1
Desi2,10116.ENSRNOP00000005967,Desi2
Ctps1,10116.ENSRNOP00000013899,Ctps1
Dusp5,10116.ENSRNOP00000018889,Dusp5
Cdv3,10116.ENSRNOP00000071373,Cdv3
